Postcode,Total_daily_wateruse(BG/d),Total Wateruse 2015,Population 2015,% Growth Population (2015-2020),Population 2020,% Growth Water demand,Water Demand 2020,% Growth Population (2020-2030),Population 2030,% Growth Water demand,Water Demand 2030,% Growth Population (2030-2040),Population 2040,% Growth Water demand,Water Demand 2040,% Growth Population (2040-2050),Population 2050,% Growth Water demand,Water Demand 2050,% Growth Population (2050-2060),Population 2060,% Growth Water demand,Water Demand 2060,% Growth Population (2060-2070),Population 2070,% Growth Water demand,Water Demand 2070,% Growth Population (2070-2080),Population 2080,% Growth Water demand,Water Demand 2080,% Growth Population (2080-2090),Population 2090,% Growth Water demand,Water Demand 2090
11353,0.000120339,0.043923735,0,3.15%,0,3.15%,0.045307333,4.90%,0,4.90%,0.047527392,4.90%,0,4.90%,0.049856234,4.90%,0,4.90%,0.05229919,4.90%,0,4.90%,0.05486185,4.90%,0,4.90%,0.057550081,4.90%,0,4.90%,0.060370035,4.90%,0,4.90%,0.063328166
11354,0.049785871,18.17184292,53684,3.15%,55375,3.15%,18.74425597,4.90%,58088,4.90%,19.66272451,4.90%,60935,4.90%,20.62619801,4.90%,63921,4.90%,21.63688171,4.90%,67053,4.90%,22.69708892,4.90%,70338,4.90%,23.80924627,4.90%,73785,4.90%,24.97589934,4.90%,77400,4.90%,26.19971841
11355,0.065292842,23.83188733,80987,3.15%,83538,3.15%,24.58259178,4.90%,87631,4.90%,25.78713878,4.90%,91925,4.90%,27.05070858,4.90%,96430,4.90%,28.3761933,4.90%,101155,4.90%,29.76662677,4.90%,106111,4.90%,31.22519148,4.90%,111311,4.90%,32.75522586,4.90%,116765,4.90%,34.36023193
11356,0.00794541,2.90007465,23494,3.15%,24234,3.15%,2.991427001,4.90%,25422,4.90%,3.138006925,4.90%,26667,4.90%,3.291769264,4.90%,27974,4.90%,3.453065958,4.90%,29345,4.90%,3.62226619,4.90%,30782,4.90%,3.799757233,4.90%,32291,4.90%,3.985945337,4.90%,33873,4.90%,4.181256659
11357,0.008551085,3.121146025,39407,3.15%,40648,3.15%,3.219462125,4.90%,42640,4.90%,3.377215769,4.90%,44729,4.90%,3.542699342,4.90%,46921,4.90%,3.716291609,4.90%,49220,4.90%,3.898389898,4.90%,51632,4.90%,4.089411003,4.90%,54162,4.90%,4.289792142,4.90%,56816,4.90%,4.499991957
11358,0.00383593,1.40011445,36515,3.15%,37665,3.15%,1.444218055,4.90%,39511,4.90%,1.51498474,4.90%,41447,4.90%,1.589218992,4.90%,43478,4.90%,1.667090723,4.90%,45608,4.90%,1.748778168,4.90%,47843,4.90%,1.834468298,4.90%,50187,4.90%,1.924357245,4.90%,52646,4.90%,2.01865075
11360,0.007799895,2.846961675,18954,3.15%,19551,3.15%,2.936640968,4.90%,20509,4.90%,3.080536375,4.90%,21514,4.90%,3.231482658,4.90%,22568,4.90%,3.389825308,4.90%,23674,4.90%,3.555926748,4.90%,24834,4.90%,3.730167159,4.90%,26051,4.90%,3.912945349,4.90%,27327,4.90%,4.104679671
11361,0.004089697,1.492739405,27201,3.15%,28058,3.15%,1.539760696,4.90%,29433,4.90%,1.61520897,4.90%,30875,4.90%,1.69435421,4.90%,32388,4.90%,1.777377566,4.90%,33975,4.90%,1.864469067,4.90%,35639,4.90%,1.955828051,4.90%,37386,4.90%,2.051663626,4.90%,39218,4.90%,2.152195143
11362,0.006673736,2.43591364,18343,3.15%,18921,3.15%,2.51264492,4.90%,19848,4.90%,2.635764521,4.90%,20820,4.90%,2.764916982,4.90%,21841,4.90%,2.900397914,4.90%,22911,4.90%,3.042517412,4.90%,24034,4.90%,3.191600765,4.90%,25211,4.90%,3.347989203,4.90%,26446,4.90%,3.512040674
11363,0.000831927,0.303653355,7096,3.15%,7320,3.15%,0.313218436,4.90%,7678,4.90%,0.328566139,4.90%,8054,4.90%,0.34466588,4.90%,8449,4.90%,0.361554508,4.90%,8863,4.90%,0.379270679,4.90%,9297,4.90%,0.397854942,4.90%,9753,4.90%,0.417349834,4.90%,10231,4.90%,0.437799976
